City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
360,Tacuarembo,UY,83.71,clear sky,-31.7333,-55.9833,Complejo San Fructuoso
364,Honiara,SB,77.68,broken clouds,-9.4333,159.95,Heritage Park Hotel
380,Alexandria,EG,75.16,scattered clouds,31.2156,29.9553,Royal Crown Hotel
393,Kutum,SD,75.29,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
396,Jiwani,PK,79.72,clear sky,25.05,61.7417,Al Mumtaz Transport Jiwani
402,San Rafael Del Sur,NI,86.97,overcast clouds,11.8485,-86.4384,Hospedaje El Chino
410,Sao Caetano De Odivelas,BR,81.99,overcast clouds,-0.75,-48.02,Hotel do Luttis
415,Massaguet,TD,87.84,scattered clouds,12.4755,15.4365,Alwatane
429,Pizarro,CO,76.66,light rain,4.9533,-77.366,Hotel Limonar
432,Kalmunai,LK,80.35,overcast clouds,7.4167,81.8167,VS Villa
435,Eyl,SO,78.35,broken clouds,7.9803,49.8164,Amiin Hotel
437,Auki,SB,77.67,broken clouds,-8.7676,160.7034,Auki Motel
444,Itapipoca,BR,88.02,overcast clouds,-3.4944,-39.5786,Hotel Pilotos
445,Porto Novo,BJ,84.02,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
448,Chabahar,IR,79.81,clear sky,25.2919,60.643,هتل گدروشیا
449,Porto Walter,BR,89.76,overcast clouds,-8.2686,-72.7439,Secretaria de saúde
453,Salinopolis,BR,81.68,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
458,Autazes,BR,88.54,overcast clouds,-3.5797,-59.1306,Apart hotel Tupinambá
460,Manjeri,IN,79.48,mist,11.1167,76.1167,ITTC
462,Wahiawa,US,77.47,scattered clouds,21.5028,-158.0236,Aloha Wahiawa
472,Lalpur,IN,77.61,overcast clouds,22.2,69.9667,Radhe Duplex Lalpur
473,Namatanai,PG,79.97,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
476,Manta,EC,87.58,few clouds,-0.95,-80.7333,Balandra Hotel
478,Quelimane,MZ,75.15,clear sky,-17.8786,36.8883,Hotel Flamingo
479,Puerto Ayacucho,VE,84.7,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
480,Half Moon Bay,US,76.53,scattered clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
485,Tiarei,PF,78.82,clear sky,-17.5333,-149.3333,Le Rocher de Tahiti
487,Lorengau,PG,80.19,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
489,Puerto Narino,CO,85.42,broken clouds,-3.7703,-70.3831,Eware Refugio Amazonico
491,Waingapu,ID,80.58,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
495,Kirando,TZ,79.63,broken clouds,-7.4167,30.6,Lakeshore Lodge
503,Makakilo City,US,78.28,few clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
505,Bambanglipuro,ID,77.04,overcast clouds,-7.95,110.2833,Puri Brata
509,Tena,EC,81.36,light rain,-0.9833,-77.8167,Hostal Tena Ñaui
