City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
260,Kuzhener,RU,56.8111,48.9128,28.87,86,100,14.41,snow
261,Maniitsoq,GL,65.4167,-52.9,31.59,88,100,10.11,overcast clouds
262,Kahului,US,20.8947,-156.47,79.84,77,20,5.75,few clouds
263,Krasnyy Chikoy,RU,50.3643,108.7512,22.32,63,10,1.95,clear sky
264,Broome,US,42.2506,-75.833,58.19,55,75,1.99,broken clouds
265,Kjollefjord,NO,70.9457,27.3465,37.22,81,75,18.41,broken clouds
266,Seymchan,RU,62.8833,152.4333,7.32,89,100,2.37,overcast clouds
267,Rio Grande,BR,-32.035,-52.0986,78.91,73,3,19.46,clear sky
268,Mikkeli,FI,61.6886,27.2723,48.31,87,75,10.36,broken clouds
269,Broken Hill,AU,-31.95,141.4333,49.71,57,0,11.5,clear sky
270,Lasa,IT,46.6166,10.7002,49.08,66,97,4.56,overcast clouds
271,Aloleng,PH,16.1307,119.7824,78.58,79,7,10.25,clear sky
272,Umm Lajj,SA,25.0213,37.2685,83.44,47,0,5.64,clear sky
273,Simpang,ID,-1.2667,104.0833,75.38,90,100,0.92,overcast clouds
274,Laguna,US,38.421,-121.4238,77.95,76,1,1.01,clear sky
275,Tinaquillo,VE,9.9186,-68.3047,80.92,71,72,3.36,light rain
276,Selma,US,36.5708,-119.6121,76.91,40,92,1.61,overcast clouds
277,Pacific Grove,US,36.6177,-121.9166,77.63,82,1,1.99,clear sky
278,Terney,RU,45.0503,136.6092,42.67,60,0,5.28,clear sky
279,Husavik,IS,66.0449,-17.3389,42.71,99,100,3.04,light rain
280,Vyartsilya,RU,62.1764,30.693,46.81,93,82,8.19,broken clouds
281,Leningradskiy,RU,69.3833,178.4167,-12.08,93,24,5.28,few clouds
282,Malinovskiy,RU,61.1953,62.8397,20.12,70,6,10.18,clear sky
283,Zapolyarnyy,RU,69.4154,30.8136,33.08,89,6,14.36,clear sky
284,Cabo San Lucas,MX,22.8909,-109.9124,88.61,62,1,3.0,clear sky
285,Lima,PE,-12.0432,-77.0282,70.14,48,75,3.0,broken clouds
286,Hialeah Gardens,US,25.8651,-80.3245,87.01,61,90,17.27,overcast clouds
287,Cockburn Town,TC,21.4612,-71.1419,85.96,66,40,8.05,scattered clouds
288,Sharan,RU,54.8167,54.0,28.49,54,100,4.76,overcast clouds
289,Bahia Blanca,AR,-38.7196,-62.2724,99.25,13,19,13.85,few clouds
290,Maarianhamina,AX,60.0973,19.9348,48.06,87,90,5.75,overcast clouds
291,Redding,US,40.5865,-122.3917,69.93,66,1,0.0,clear sky
292,Hun,LY,29.1268,15.9477,68.31,37,0,1.99,clear sky
